Study,Sample size of controls,Sample size of PTSD,Analysis,Finding in original study,Marginal probability,Qualitative assessment of the model’s ability to recreate each finding,Overall assessment of the model’s success
zuj2017,33,21,Early Extinction ANOVA Group x Cue Type Interaction,S,0.091,Failure to Recreate,failure to recreate
zuj2017,33,21,Late Extinction ANOVA Trial Number Main Effect,S,0.285,Partial Failure,failure to recreate
zuj2017,33,21,Control Difference Between Trials 1 and 2 of Extinction,S,0.901,Successful Recreation,failure to recreate
zuj2017,33,21,PTSD Difference Between Trials 2 and 3 of Extinction,S,0.424,Chance Level Recreation,failure to recreate
zuj2017,33,21,Acquisition ANOVA Group Main Effect,NS,0.945,Successful Recreation,failure to recreate
zuj2017,33,21,Group Extinction Group Main Effect,NS,0.92,Successful Recreation,failure to recreate
zuj2017,33,21,Late Extinction Group Main Effect,NS,0.95,Successful Recreation,failure to recreate
zuj2017,33,21,Late Extinction Cue Type Main Effect,NS,0.276,Partial Failure,failure to recreate
zuj2017,33,21,Late Extinction Group x Cue Type Interaction,NS,0.935,Successful Recreation,failure to recreate
zuj2017,33,21,PTSD Difference Between Trials 1 and 2 of Extinction,NS,0.377,Partial Failure,failure to recreate
zuj2017,33,21,Control Difference Between Trials 2 and 3 of Extinction,NS,0.256,Partial Failure,failure to recreate
