Study,Sample size of controls,Sample size of PTSD,Analysis,Finding in original study,Marginal probability,Qualitative assessment of the model’s ability to recreate each finding,Overall assessment of the model’s success
pohlechen2020,35,21,Recall ANOVA Group Main Effect,NS,0.012,Failure to Recreate,successful recreation
pohlechen2020,35,21,Recall ANOVA Group x Cue Type Interaction,NS,0.018,Failure to Recreate,successful recreation
shvil2014,25,31,Recall ANOVA Group Main Effect,NS,0.74,Partial Success,partial success
shvil2014,25,31,Recall ANOVA Cue Type Main Effect,NS,0,Failure to Recreate,partial success
shvil2014,25,31,Recall ANOVA Group x Cue Type Interaction,NS,0.493,Chance Level Recreation,partial success
garfinkel2014,14,14,Recall ANOVA Group x Cue Type Interaction,S,0.261,Partial Failure,successful recreation
garfinkel2014,14,14,Renewal ANOVA Group x Cue Type Interaction,S,0.039,Failure to Recreate,successful recreation
garfinkel2014,14,14,PTSD t Test Between Stimuli in Recall,S,0.049,Failure to Recreate,successful recreation
garfinkel2014,14,14,Control t Test Between Stimuli in Renewal,S,0.047,Failure to Recreate,successful recreation
garfinkel2014,14,14,t Test Between Groups in Renewal,S,0.039,Failure to Recreate,successful recreation
garfinkel2014,14,14,Control t Test Between Stimuli in Recall,NS,0.709,Partial Success,successful recreation
garfinkel2014,14,14,PTSD t Test Between Stimuli in Renewal,NS,0.955,Successful Recreation,successful recreation
milad2009,19,20,Recall ANOVA Group x Cue Type Interaction,S,0.333,Partial Failure,partial success
pineles2016,16,16,Group Effect on Regression for Fear Recall,S,0,Failure to Recreate,successful recreation
wicking2016,18,36,Recall ANOVA Group x Cue Type Interaction,S,0.052,Failure to Recreate,successful recreation
wicking2016,18,36,PTSD t Test Between Stimuli in Recall,S,1,Successful Recreation,successful recreation
wicking2016,18,36,Control t Test Between Stimuli in Recall,NS,0,Failure to Recreate,successful recreation
