Study,Sample size of controls,Sample size of PTSD,Analysis,Finding in original study,Marginal probability,Qualitative assessment of the model’s ability to recreate each finding,Overall assessment of the model’s success
pohlechen2020_x,35,21,Recall ANOVA Group Main Effect,NS,0.756,Partial Success,successful recreation
pohlechen2020_x,35,21,Recall ANOVA Group x Cue Type Interaction,NS,0.771,Partial Success,successful recreation
wicking2016_x,18,36,Recall ANOVA Group x Cue Type Interaction,NS,0.961,Successful Recreation,successful recreation
wicking2016_x,18,36,PTSD t Test Between Stimuli in Recall,S,0.053,Failure to Recreate,successful recreation
wicking2016_x,18,36,Control t Test Between Stimuli in Recall,S,0.976,Successful Recreation,successful recreation
