Name,Pass_pattern,n_passes,Count
burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction,3,45
burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,35
burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,4,28
burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_cue_type_x_block_interaction,2,18
burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction,2,6
burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,2,4
burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,3
burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_group_x_block_interaction,2,2
burriss2006,,NA,1
burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,1
burriss2006,extinction_ANOVA_cue_type_x_block_interaction,1,1
burriss2006,extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,2,1
felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction,4,837
felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction,5,66
felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect,3,56
felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction,3,32
felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_trial_number_main_effect,4,5
felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect,2,2
felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_group_x_trial_interaction,4,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,600
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,58
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,38
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,4,38
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,36
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,31
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,4,23
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,5,18
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,6,18
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,17
