Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,8
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,6
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,5
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,5
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,4
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,4
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,4
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,3
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,3
pohlechen2020_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,3
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,2
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,2
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;recall_ANOVA_group_main_effect,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,3,1
pohlechen2020_x,acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,3,1
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,4,773
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,5,48
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,45
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,32
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,31
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,24
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,2,17
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,7
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,5
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,2,3
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,3
wicking2016_x,recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,2,3
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,4,2
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,3,2
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,2
wicking2016_x,,NA,1
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction,1,1
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,1
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,5,488
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,4,243
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;late_extinction_group_x_cue_type_interaction,4,74
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction,4,44
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_group_x_cue_type_interaction,3,39
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,6,28
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;early_extinction_group_x_cue_type_interaction,3,25
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,5,14
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,3,13
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,4,12
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect,3,4
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;late_extinction_group_x_cue_type_interaction,5,4
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_x_cue_type_interaction,2,3
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect,2,2
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_group_x_cue_type_interaction,4,2
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction,5,2
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_trial_number_main_effect;late_extinction_group_x_cue_type_interaction,3,2
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;early_extinction_group_x_cue_type_interaction,4,1
