Name,Pass_pattern,n_passes,Count
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,3,752
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,2,53
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,4,39
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test;extinction_block_2_t_test,4,38
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,2,27
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,4,24
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,3,21
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition,2,6
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,3,6
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,3,5
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,3
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_2_t_test,5,3
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test,3,3
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_2_t_test,4,3
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,4,2
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test,3,2
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,3,1
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,1
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition,3,1
