,Name,Pass_pattern,n_passes,Count
44,blechert2007,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect,2,4
45,blechert2007,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_plus_group_difference,4,2
46,burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction,2,276
47,burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction,3,125
48,burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,102
49,burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction,2,100
50,burriss2006,acquistion_ANOVA_group_x_block_interaction,1,94
51,burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,93
52,burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,4,93
53,burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,2,62
54,burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_cue_type_x_block_interaction,2,15
55,burriss2006,extinction_ANOVA_block_main_effect,1,14
56,burriss2006,,NA,9
57,burriss2006,extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,2,8
58,burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,4
59,burriss2006,extinction_ANOVA_group_x_block_interaction,1,3
60,burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_group_x_block_interaction,2,2
61,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction,4,488
62,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction,3,346
63,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect,3,35
64,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction,5,33
65,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_stimulu_main_effects,5,28
66,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_group_x_trial_interaction,4,26
67,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect,2,24
68,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_stimulu_main_effects,4,12
