Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,4,828
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_trial_number_interaction,3,46
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction,2,40
acheson2015_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,2,40
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,3,37
acheson2015_x,extinction_ANOVA_group_x_trial_number_interaction,1,5
acheson2015_x,extinction_ANOVA_group_main_effect,1,2
acheson2015_x,,NA,1
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction,1,1
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,4,549
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,3,160
blechert2007_x,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,3,99
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_minus_group_difference,2,82
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference,2,41
blechert2007_x,extinction_ANOVA_cue_type_main_effect,1,31
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference,3,18
blechert2007_x,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,9
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,5,7
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,4,2
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction,4,2
norrholm2011_x,acqustion_ANOVA_group_main_effect;acqustion_ANOVA_group_x_cue_type_interaction,2,1000
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,6,554
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,4,120
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,5,87
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,5,71
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,27
