Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,4,751
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_trial_number_interaction,3,101
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,3,51
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,3,44
acheson2015_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,3,36
acheson2015_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,2,6
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction,2,4
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_trial_number_interaction,2,3
acheson2015_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect,2,1
acheson2015_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,2,1
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,2,1
acheson2015_x,extinction_ANOVA_group_x_trial_number_interaction,1,1
blechert2007_x,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,3,426
blechert2007_x,extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,2,331
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,3,32
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,5,27
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_minus_group_difference,2,26
blechert2007_x,CS_plus_group_difference;CS_minus_group_difference,2,20
blechert2007_x,CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,3,18
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,4,18
blechert2007_x,extinction_ANOVA_group_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,4,17
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,4,13
blechert2007_x,CS_minus_group_difference,1,12
blechert2007_x,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,10
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,4,9
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,3,9
blechert2007_x,extinction_ANOVA_cue_type_main_effect,1,8
blechert2007_x,,NA,6
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,6
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,5
blechert2007_x,extinction_ANOVA_group_x_cue_type_interaction,1,3
blechert2007_x,extinction_ANOVA_group_main_effect;CS_plus_group_difference;CS_minus_group_difference,3,2
blechert2007_x,CS_plus_group_difference,1,1
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction,4,1
norrholm2011_x,acqustion_ANOVA_group_main_effect;acqustion_ANOVA_group_x_cue_type_interaction,2,653
norrholm2011_x,acqustion_ANOVA_group_main_effect;acqustion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,3,169
norrholm2011_x,acqustion_ANOVA_group_main_effect;acqustion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,3,58
norrholm2011_x,acqustion_ANOVA_group_main_effect;acqustion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,4,45
norrholm2011_x,acqustion_ANOVA_group_x_cue_type_interaction,1,30
norrholm2011_x,acqustion_ANOVA_group_main_effect,1,24
norrholm2011_x,acqustion_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect,2,10
norrholm2011_x,acqustion_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,4
