Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
norrholm2011_x,acqustion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,2,4
norrholm2011_x,acqustion_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,2
norrholm2011_x,acqustion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,6,640
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,5,77
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,5,73
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,41
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,39
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,35
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,30
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,4,19
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,7
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,6
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,4
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,3
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,3
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,3
pohlechen2020_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,3
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,2
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,2
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,2
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,2
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;recall_ANOVA_group_main_effect,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,3,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,3,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,1
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,4,782
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,5,43
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,38
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,37
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,37
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,20
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,2,13
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,7
wicking2016_x,recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,2,5
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,4,4
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,2,2
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,3,2
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,2
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,2
wicking2016_x,recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,3,2
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,1
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,2,1
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,1
wicking2016_x,recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,2,1
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,4,407
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,5,176
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,3,167
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,4,56
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_group_x_cue_type_interaction,3,36
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;early_extinction_group_x_cue_type_interaction,3,30
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,5,28
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_x_cue_type_interaction,2,20
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction,4,15
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;late_extinction_group_x_cue_type_interaction,4,15
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;early_extinction_group_x_cue_type_interaction,2,14
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_trial_number_main_effect;late_extinction_group_x_cue_type_interaction,3,10
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,4,6
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,6,6
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_group_x_cue_type_interaction,4,5
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect,2,2
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect,3,2
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,5,2
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction,5,1
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;late_extinction_group_x_cue_type_interaction,5,1
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction,4,1
