Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,1
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,1
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,3,305
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,212
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,139
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,52
shvil2014,extinction_ANOVA_group_main_effect;recall_ANOVA_group_main_effect,2,47
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,41
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,39
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,28
shvil2014,extinction_ANOVA_group_main_effect;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,3,26
shvil2014,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,2,21
shvil2014,extinction_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,2,15
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,11
shvil2014,extinction_ANOVA_group_main_effect,1,10
shvil2014,recall_ANOVA_group_main_effect,1,10
shvil2014,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,3,9
shvil2014,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,6
shvil2014,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,3,4
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,4
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_x_cue_type_interaction,3,4
shvil2014,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,3
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_main_effect,3,3
shvil2014,recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,2,3
shvil2014,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,2
shvil2014,extinction_ANOVA_group_x_cue_type_interaction,1,2
shvil2014,,NA,1
shvil2014,extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_main_effect,2,1
shvil2014,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect,2,1
shvil2014,recall_ANOVA_group_x_cue_type_interaction,1,1
wicking2016,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,3,861
wicking2016,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,4,47
wicking2016,acquisition_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,2,46
wicking2016,extinction_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,2,38
wicking2016,acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,3,3
wicking2016,PTSD_t_test_between_stimuli_in_recall,1,3
wicking2016,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,3,2
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;group_extinction_group_main_effect;late_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,10,450
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;group_extinction_group_main_effect;late_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,9,228
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;group_extinction_group_main_effect;late_extinction_group_main_effect,9,81
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;late_extinction_group_main_effect,8,46
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;late_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,9,35
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;group_extinction_group_main_effect;late_extinction_group_main_effect,8,31
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;group_extinction_group_main_effect;late_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,9,24
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect,7,21
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;group_extinction_group_main_effect;late_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,8,16
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;late_extinction_group_main_effect,7,13
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;late_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,8,13
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;group_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,9,11
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;group_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,8,6
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;late_extinction_group_x_cue_type_interaction,8,4
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect,6,4
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;group_extinction_group_main_effect,7,3
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;late_extinction_group_x_cue_type_interaction,7,3
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;acquisition_ANOVA_group_main_effect;group_extinction_group_main_effect,8,2
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction,5,2
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;group_extinction_group_main_effect;late_extinction_group_main_effect,8,1
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;late_extinction_group_main_effect,7,1
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;late_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,8,1
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_cue_type_interaction;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;late_extinction_group_x_cue_type_interaction,7,1
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;group_extinction_group_main_effect;late_extinction_group_main_effect,7,1
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;group_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,7,1
zuj2017,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;control_difference_between_trials_1_and_2_of_extinction;PTSD_difference_between_trials_2_and_3_of_extinction;late_extinction_group_main_effect;late_extinction_group_x_cue_type_interaction,7,1
