Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,5,119
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,4,73
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,61
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,36
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,29
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,26
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,18
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,4,17
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,16
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,15
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,14
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,13
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,11
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,8
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,8
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,7
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;PTSD_t_test_between_stimuli_in_renewal,6,7
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,7
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,6,6
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,6
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,5
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;PTSD_t_test_between_stimuli_in_renewal,6,4
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,4
garfinkel2014,PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,4
garfinkel2014,control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;PTSD_t_test_between_stimuli_in_renewal,5,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal,6,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;PTSD_t_test_between_stimuli_in_renewal,7,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,3
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,2
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,2
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,5,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,3,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction,3,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction,4,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,5,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal,5,2
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,3,2
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,2
