Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,4,838
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,3,49
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction,2,37
acheson2015_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,2,33
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_trial_number_interaction,3,25
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,3,5
acheson2015_x,,NA,3
acheson2015_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,3,3
acheson2015_x,extinction_ANOVA_group_main_effect,1,3
acheson2015_x,extinction_ANOVA_group_x_trial_number_interaction,1,2
acheson2015_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect,2,1
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,2,1
blechert2007_x,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,3,363
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,4,251
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,3,178
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_minus_group_difference,2,67
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,5,61
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,4,24
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference,2,20
blechert2007_x,extinction_ANOVA_cue_type_main_effect,1,12
blechert2007_x,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,7
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,4,7
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,5
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction,4,3
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference,3,2
norrholm2011_x,acqustion_ANOVA_group_main_effect;acqustion_ANOVA_group_x_cue_type_interaction,2,954
norrholm2011_x,acqustion_ANOVA_group_x_cue_type_interaction,1,23
norrholm2011_x,acqustion_ANOVA_group_main_effect,1,19
norrholm2011_x,,NA,4
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,6,540
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,5,99
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,5,95
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,4,87
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,31
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,30
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,24
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,5,20
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,7
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,7
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,6
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,5
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,3,5
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,4
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,4
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,4
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,4
pohlechen2020_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,4
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,4
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,3,3
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction,2,2
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,3,2
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,2
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,2
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect,2,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,3,1
pohlechen2020_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,1
pohlechen2020_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,1
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,4,774
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,5,58
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,43
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,41
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,27
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,2,15
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,3,14
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,8
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,4,6
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction,1,3
wicking2016_x,recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,2,3
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,2
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,2
wicking2016_x,acquistion_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,2,1
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,1
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,3,1
wicking2016_x,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,4,1
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,5,545
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;late_extinction_group_x_cue_type_interaction,4,282
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction,4,82
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect,3,35
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction;late_extinction_group_x_cue_type_interaction,6,31
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;late_extinction_group_x_cue_type_interaction,5,11
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect;early_extinction_group_x_cue_type_interaction,5,9
zuj2017_x,early_extinction_cue_type_x_trial_number_interaction;late_extinction_group_main_effect;late_extinction_cue_type_main_effect;late_extinction_trial_number_main_effect,4,5
